covariate,HR,transition,model,L,U
Beginner - Letter,1.0357437143591244,female,M2,NA,NA
Beginner - Word,1.484156240332495,female,M2,NA,NA
Letter - Beginner,1.3833653482187092,female,M2,NA,NA
Letter - Word,1.102397478816339,female,M2,NA,NA
Letter - Para,0.9594354299265191,female,M2,NA,NA
Word - Letter,0.7065097443300526,female,M2,NA,NA
Word - Para,1.0684561622593762,female,M2,NA,NA
Word - Story,0.45776022857560017,female,M2,NA,NA
Para - Word,0.965343940928839,female,M2,NA,NA
Para - Story,1.0642912958558963,female,M2,NA,NA
Beginner - Letter,1.0893852052130697,age_centered,M2,NA,NA
Beginner - Word,1.2594632074844843,age_centered,M2,NA,NA
Letter - Beginner,1.1068464592738088,age_centered,M2,NA,NA
Letter - Word,1.0766551704984662,age_centered,M2,NA,NA
Letter - Para,1.0819629543605507,age_centered,M2,NA,NA
Word - Letter,1.0838892689161812,age_centered,M2,NA,NA
Word - Para,1.1201239315994573,age_centered,M2,NA,NA
Word - Story,0.6506506254705939,age_centered,M2,NA,NA
Para - Word,0.9999035629330603,age_centered,M2,NA,NA
Para - Story,1.0791071884399668,age_centered,M2,NA,NA
Beginner - Letter,1.0708526396038942,female,M3,0.7636414844712465,1.5016541126503005
Beginner - Word,1.8168399266494666,female,M3,1.7644951675344224e-13,18707375230049.95
Letter - Beginner,1.4163703342730958,female,M3,0.3941815486019295,5.089291802023888
Letter - Word,1.095652151628903,female,M3,0.9051427056968926,1.32625897531239
Letter - Para,0.9998966421970544,female,M3,5.717336230853477e-17,17487047371494126
Word - Letter,0.6859525024118871,female,M3,0.30069048970281936,1.5648344449808456
Word - Para,1.120582507221993,female,M3,0.8625785060023602,1.4557575301887853
Word - Story,0.046918578672791464,female,M3,5.399981066601131e-4,4.0765939686164545
Para - Word,1.034038463286045,female,M3,0.6914861451522502,1.5462862865018696
Para - Story,1.1155064882901593,female,M3,0.9009230273040102,1.381199822521069
Beginner - Letter,1.0774038583869503,age_centered,M3,0.9796596356855094,1.1849003794617168
Beginner - Word,1.2453615877282698,age_centered,M3,7.571240168826035e-4,2048.443121081916
Letter - Beginner,1.0632136408590542,age_centered,M3,0.743460061944652,1.5204895380014671
Letter - Word,1.0687923087519726,age_centered,M3,1.0130824942067975,1.1275656284454503
Letter - Para,1.0534660987177766,age_centered,M3,6.214974861958667e-5,17856.722606242343
Word - Letter,1.0897286096093761,age_centered,M3,0.8612154498802135,1.3788749873987454
Word - Para,1.124030737449607,age_centered,M3,1.044637472032755,1.2094579531719991
Word - Story,0.29542218101765044,age_centered,M3,0.07238771084331706,1.2056502964450728
Para - Word,0.9978243773325831,age_centered,M3,0.8930872954562424,1.1148445320684108
Para - Story,1.101002214969413,age_centered,M3,1.0326169304984787,1.1739163300202535
Beginner - Letter,12.133475862209607,countyKilifi,M3,5.415972301465435e-8,2718278977.5159874
Beginner - Word,2.07040063383834,countyKilifi,M3,4.0686202277654076e-92,10535657162950255e76
Letter - Beginner,18.785149302218716,countyKilifi,M3,2.8090610978934004e-8,12562269812.190416
Letter - Word,1.4021492794291779,countyKilifi,M3,0.9045656090913318,2.1734438962130147
Letter - Para,1.489246565644989,countyKilifi,M3,4.056182350729048e-31,5467839316658909e15
Word - Letter,1.0289172896887393,countyKilifi,M3,0.2936645585891432,3.605034240790268
Word - Para,0.9125560674326603,countyKilifi,M3,0.5796836280997779,1.4365742550604237
Word - Story,38.78548869881133,countyKilifi,M3,0.90803468104832,1656.670350816228
Para - Word,1.1182900846812538,countyKilifi,M3,0.6019874681661319,2.0774065568276616
Para - Story,0.9045188720327489,countyKilifi,M3,0.6493781203669338,1.259904459671501
Beginner - Letter,1.3605562190442213,countyKitui,M3,0.19934052098752267,9.286186350921465
Beginner - Word,1.0611368632800724,countyKitui,M3,1.7708300499013026e-53,6358664642463135e37
Letter - Beginner,6.534617227748708,countyKitui,M3,0.38435929738756,111.09714947296675
Letter - Word,0.6224286441388703,countyKitui,M3,0.24417219503982382,1.586656568252441
Letter - Para,1.0044711076997153,countyKitui,M3,1.3276751172063874e-68,7599466112812969e52
Word - Letter,0.691234230200706,countyKitui,M3,0.07604863403961763,6.282884196871301
Word - Para,12.824390716885155,countyKitui,M3,2.750898546304399e-9,59785918851.96005
Word - Story,0.5492704027642414,countyKitui,M3,3.3079052237843293e-7,912051.4493085798
Para - Word,22.22243480205554,countyKitui,M3,3.825481388230351e-9,129091363521.19466
Para - Story,0.16370715873837816,countyKitui,M3,0.042626153807675246,0.628722777642841
Beginner - Letter,0.9746589680440744,female,M4,NA,NA
Beginner - Word,18.79644506092988,female,M4,NA,NA
Letter - Beginner,3.9852712287555607,female,M4,NA,NA
Letter - Word,1.155438499274588,female,M4,NA,NA
Letter - Para,1.42435915069898,female,M4,NA,NA
Word - Letter,0.4117935171851673,female,M4,NA,NA
Word - Para,1.0477951000798065,female,M4,NA,NA
Word - Story,4.845437896605018,female,M4,NA,NA
Para - Word,1.2552221579912624,female,M4,NA,NA
Para - Story,0.8565796411221837,female,M4,NA,NA
Beginner - Letter,1.1542979179979862,age_centered,M4,NA,NA
Beginner - Word,0.09820720173232017,age_centered,M4,NA,NA
Letter - Beginner,0.9495193786382224,age_centered,M4,NA,NA
Letter - Word,1.0722364464137126,age_centered,M4,NA,NA
Letter - Para,1.539396740564522,age_centered,M4,NA,NA
